possession_id,curation_tag
7_P0010,lightly_curated
7_P0011,lightly_curated
7_P0012,lightly_curated
7_P0013,lightly_curated
7_P0014,lightly_curated
7_P0015,lightly_curated
7_P0016,lightly_curated
7_P0017,lightly_curated
7_P0018,lightly_curated
7_P0019,lightly_curated
7_P0020,lightly_curated
7_P0021,lightly_curated
7_P0022,lightly_curated
7_P0023,lightly_curated
7_P0024,lightly_curated
7_P0025,lightly_curated
7_P0026,lightly_curated
7_P0027,lightly_curated
7_P0028,lightly_curated
7_P0029,lightly_curated
7_P0030,lightly_curated
7_P0031,lightly_curated
7_P0032,lightly_curated
8_P0001,lightly_curated
8_P0002,lightly_curated
8_P0003,lightly_curated
8_P0004,lightly_curated
8_P0005,lightly_curated
8_P0006,lightly_curated
8_P0007,lightly_curated
8_P0008,lightly_curated
8_P0009,lightly_curated
8_P0010,lightly_curated
8_P0011,lightly_curated
8_P0012,lightly_curated
8_P0013,lightly_curated
8_P0014,lightly_curated
8_P0015,lightly_curated
8_P0016,lightly_curated
8_P0017,lightly_curated
8_P0018,lightly_curated
8_P0019,lightly_curated
8_P0020,lightly_curated
8_P0021,lightly_curated
8_P0022,lightly_curated
8_P0023,lightly_curated
9_P0001,lightly_curated
9_P0002,lightly_curated
9_P0003,lightly_curated
9_P0004,lightly_curated
9_P0005,lightly_curated
9_P0006,lightly_curated
9_P0007,lightly_curated
10_P0001,lightly_curated
10_P0002,lightly_curated
10_P0003,lightly_curated
10_P0004,lightly_curated
10_P0005,lightly_curated
10_P0006,lightly_curated
10_P0007,lightly_curated
10_P0008,lightly_curated
10_P0009,lightly_curated
10_P0010,lightly_curated
10_P0011,lightly_curated
10_P0012,lightly_curated
10_P0013,lightly_curated
10_P0014,lightly_curated
10_P0015,lightly_curated
10_P0016,lightly_curated
10_P0017,lightly_curated
10_P0018,lightly_curated
10_P0019,lightly_curated
10_P0020,lightly_curated
10_P0021,lightly_curated
10_P0022,lightly_curated
10_P0023,lightly_curated
10_P0024,lightly_curated
10_P0025,lightly_curated
10_P0026,lightly_curated
10_P0027,lightly_curated
11_P0001,lightly_curated
11_P0002,lightly_curated
11_P0003,lightly_curated
11_P0004,lightly_curated
11_P0005,lightly_curated
11_P0006,lightly_curated
11_P0007,lightly_curated
11_P0008,lightly_curated
11_P0009,lightly_curated
11_P0010,lightly_curated
11_P0011,lightly_curated
11_P0012,lightly_curated
