possession_id,game_id,our_team_name,opponent_team_name,period,time_remaining,seconds_remaining,clock_bin,our_team_level,opponent_team_level,man_state,attack_type,event_type,possession_outcome_simple,possession_outcome_detail,is_shot,is_turnover,is_ejection_drawn,is_5m_drawn,is_man_up,empty_net,is_heave,is_long_range,defender_count,defender_count_bin,goalie_distance_m,goalie_lateral,shooter_x,shooter_y,distance_m,angle_deg,abs_angle,angle_x_distance,distance_bin,angle_bin,dist_x_manup,dist_x_defbin,poss_idx_in_game,prior_poss_before,prior_shots_before,prior_goals_before,prior_shot_rate_in_game,prior_goal_rate_in_game,last3_shots_before,last3_goals_before,last3_goal_rate_in_game,shot_type,shot_result,shooter_handedness,player_number,possession_passes,video_file,video_timestamp_mmss,sample_weight
1_P0001,1,west_sub,evanston,1,06:50,410.0,gt8s,IL Club,IL Club,6v6,counter,shot,goal,goal,True,False,False,False,False,False,False,False,1.0,def1,1.0,right,0.65,0.2,4.243,45.0,45.0,190.935,0-5,45-90,0-5|MU0,0-5|def1,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,standard,goal,right,7.0,1.0,IMG_6154.MOV,00:18,1.0
1_P0002,1,west_sub,evanston,1,06:17,377.0,gt8s,IL Club,IL Club,6v6,perimeter,shot,goal,goal,True,False,False,False,False,False,False,False,1.0,def1,1.0,center,0.5,0.2,3.0,0.0,0.0,0.0,0-5,0-15,0-5|MU0,0-5|def1,2,1,1.0,1.0,0.5,0.5,1.0,1.0,0.5,standard,goal,right,11.0,0.0,IMG_6155.MOV,00:39,1.0
1_P0003,1,west_sub,evanston,1,05:51,351.0,gt8s,IL Club,IL Club,6v6,counter,shot,shot_no_goal,post/bar,True,False,False,False,False,False,False,False,2.0,def2p,1.5,right,0.7,0.4,7.211,33.69,33.69,242.93859,5-8,30-45,5-8|MU0,5-8|def2p,3,2,2.0,2.0,0.6,0.6,2.0,2.0,0.6,standard,post/bar,right,7.0,1.0,IMG_6156.MOV,00:29,1.0
1_P0004,1,west_sub,evanston,1,05:03,303.0,gt8s,IL Club,IL Club,6v6,nan,turnover,turnover,steal/interception,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,4,3,,,0.16666666666666666,0.3333333333333333,,,0.3333333333333333,nan,nan,right,,1.0,IMG_6157.MOV,00:48,1.0
1_P0005,1,west_sub,evanston,1,04:25,265.0,gt8s,IL Club,IL Club,6v6,nan,turnover,turnover,steal/interception,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,5,4,,,0.14285714285714285,0.3333333333333333,,,0.3333333333333333,nan,nan,right,,1.0,IMG_6159.MOV,00:03,1.0
1_P0006,1,west_sub,evanston,1,03:33,213.0,gt8s,IL Club,IL Club,6v6,perimeter,shot,goal,goal,True,False,False,False,False,False,False,False,1.0,def1,1.0,right,0.7,0.2,5.0,53.13,53.13,265.65000000000003,5-8,45-90,5-8|MU0,5-8|def1,6,5,3.0,2.0,0.5,0.5,3.0,2.0,0.5,standard,goal,right,4.0,9.0,IMG_6162.MOV,00:31,1.0
1_P0007,1,west_sub,evanston,1,02:55,175.0,gt8s,IL Club,IL Club,6v6,perimeter,shot,shot_no_goal,blocked (GK),True,False,False,False,False,False,False,False,1.0,def1,0.5,right,0.7,0.2666666667,5.657,45.0,45.0,254.565,5-8,45-90,5-8|MU0,5-8|def1,7,6,4.0,3.0,0.5555555555555556,0.5714285714285714,3.0,2.0,0.5,standard,blocked (GK),right,4.0,6.0,IMG_6164.MOV,00:17,1.0
1_P0008,1,west_sub,evanston,1,02:44,164.0,gt8s,IL Club,IL Club,6v6,perimeter,shot,shot_no_goal,post/bar,True,False,False,False,False,False,False,False,1.0,def1,0.5,right,0.75,0.4,7.81,39.81,39.81,310.91610000000003,5-8,30-45,5-8|MU0,5-8|def1,8,7,5.0,3.0,0.6,0.5,3.0,1.0,0.3333333333333333,lob,post/bar,right,4.0,2.0,IMG_6165.MOV,00:11,1.0
1_P0009,1,west_sub,evanston,1,02:27,147.0,gt8s,IL Club,IL Club,6v6,perimeter,shot,shot_no_goal,missed,True,False,False,False,False,False,False,False,1.0,def1,1.0,center,0.4,0.4666666667,7.28,-15.95,15.95,116.116,5-8,15-30,5-8|MU0,5-8|def1,9,8,6.0,3.0,0.6363636363636364,0.4444444444444444,3.0,1.0,0.3333333333333333,standard,missed,right,5.0,3.0,IMG_6166.MOV,00:16,1.0
1_P0010,1,west_sub,evanston,1,02:01,121.0,gt8s,IL Club,IL Club,6v6,nan,turnover,turnover,bad pass / out of bounds,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,10,9,,,0.08333333333333333,0.3333333333333333,,,0.3333333333333333,nan,nan,right,,1.0,IMG_6167.MOV,00:21,1.0
