game_id,shots,xg_sum,goals,xg_diff,xg_per_shot,goal_rate,low_data
1,26,14.022068930677491,12,-2.0220689306774933,0.539,0.462,False
10,27,15.086080350494674,16,0.913919649505326,0.559,0.593,False
11,12,6.31748927243885,7,0.6825107275611497,0.526,0.583,False
12,4,1.5,2,0.5,0.375,0.5,True
13,2,0.9857142857142857,1,0.0142857142857143,0.493,0.5,True
14,1,0.7,1,0.3,0.7,1.0,True
15,2,1.6994615792668548,1,-0.6994615792668548,0.85,0.5,True
2,18,11.458009483861316,11,-0.458009483861316,0.637,0.611,False
3,16,6.890709974007664,7,0.1092900259923359,0.431,0.438,False
4,18,8.654689258702849,4,-4.654689258702849,0.481,0.222,False
5,10,4.356455409251308,4,-0.3564554092513079,0.436,0.4,False
6,15,6.067757194309951,3,-3.06775719430995,0.405,0.2,False
7,22,10.419910722794302,12,1.5800892772056976,0.474,0.545,False
8,23,14.328050571440016,17,2.6719494285599854,0.623,0.739,False
9,7,2.180464360657957,2,-0.180464360657957,0.311,0.286,True
