our_team_name,player_number,n,goals,xg_sum,xg_ps,goal_rate,xg_minus_goals,low_data,shooter_label
carlsbad,10.0,14,10,7.347144754371023,0.525,0.714,-2.653,False,carlsbad #10.0
carlsbad,11.0,13,6,6.475333429555045,0.498,0.462,0.475,False,carlsbad #11.0
carlsbad,8.0,8,3,3.5959595959595956,0.449,0.375,0.596,True,carlsbad #8.0
carlsbad,2.0,5,1,2.4747474747474745,0.495,0.2,1.475,True,carlsbad #2.0
carlsbad,12.0,4,1,1.5757575757575757,0.394,0.25,0.576,True,carlsbad #12.0
carlsbad,15.0,4,2,1.7178696694722095,0.429,0.5,-0.282,True,carlsbad #15.0
carlsbad,9.0,4,2,2.5103227747370975,0.628,0.5,0.51,True,carlsbad #9.0
carlsbad,5.0,3,2,2.01010101010101,0.67,0.667,0.01,True,carlsbad #5.0
carlsbad,0.0,2,1,0.5823227546538954,0.291,0.5,-0.418,True,carlsbad #0.0
carlsbad,3.0,2,1,1.01010101010101,0.505,0.5,0.01,True,carlsbad #3.0
carlsbad,6.0,2,1,0.8888888888888888,0.444,0.5,-0.111,True,carlsbad #6.0
carlsbad,14.0,1,0,0.4545454545454545,0.455,0.0,0.455,True,carlsbad #14.0
carlsbad,19.0,1,0,0.4545454545454545,0.455,0.0,0.455,True,carlsbad #19.0
carlsbad,7.0,1,1,0.4761084201631912,0.476,1.0,-0.524,True,carlsbad #7.0
hinsdale_central,10.0,5,2,1.8689501116902456,0.374,0.4,-0.131,True,hinsdale_central #10.0
hinsdale_central,20.0,5,3,2.9677352779306547,0.594,0.6,-0.032,True,hinsdale_central #20.0
hinsdale_central,4.0,5,4,3.6277173913043477,0.726,0.8,-0.372,True,hinsdale_central #4.0
hinsdale_central,9.0,4,4,2.9402173913043477,0.735,1.0,-1.06,True,hinsdale_central #9.0
hinsdale_central,13.0,3,2,1.551308350427778,0.517,0.667,-0.449,True,hinsdale_central #13.0
hinsdale_central,15.0,3,2,1.7800632911392404,0.593,0.667,-0.22,True,hinsdale_central #15.0
hinsdale_central,2.0,3,3,2.0365774742209393,0.679,1.0,-0.963,True,hinsdale_central #2.0
hinsdale_central,8.0,3,2,1.8751719867914143,0.625,0.667,-0.125,True,hinsdale_central #8.0
hinsdale_central,5.0,2,1,1.1876719867914145,0.594,0.5,0.188,True,hinsdale_central #5.0
hinsdale_central,16.0,1,0,0.4050632911392405,0.405,0.0,0.405,True,hinsdale_central #16.0
hinsdale_central,22.0,1,1,0.4050632911392405,0.405,1.0,-0.595,True,hinsdale_central #22.0
midwest_zone,5.0,3,1,1.06951871657754,0.357,0.333,0.07,True,midwest_zone #5.0
midwest_zone,15.0,2,1,0.7580044676098288,0.379,0.5,-0.242,True,midwest_zone #15.0
midwest_zone,14.0,1,0,0.0,0.0,0.0,0.0,True,midwest_zone #14.0
midwest_zone,3.0,1,0,0.3529411764705882,0.353,0.0,0.353,True,midwest_zone #3.0
usa_academy,2.0,5,1,1.9317674135246734,0.386,0.2,0.932,True,usa_academy #2.0
usa_academy,3.0,5,0,1.8168279970215933,0.363,0.0,1.817,True,usa_academy #3.0
usa_academy,12.0,4,1,2.1330044676098288,0.533,0.25,1.133,True,usa_academy #12.0
usa_academy,5.0,4,2,1.75701871657754,0.439,0.5,-0.243,True,usa_academy #5.0
usa_academy,15.0,3,2,1.4884910485933505,0.496,0.667,-0.512,True,usa_academy #15.0
usa_academy,0.0,2,0,1.0404411764705883,0.52,0.0,1.04,True,usa_academy #0.0
usa_academy,10.0,2,1,1.4701086956521738,0.735,0.5,0.47,True,usa_academy #10.0
usa_academy,9.0,2,1,1.02054397603382,0.51,0.5,0.021,True,usa_academy #9.0
usa_academy,1.0,1,0,0.3529411764705882,0.353,0.0,0.353,True,usa_academy #1.0
west_sub,4.0,18,10,9.757142857142856,0.542,0.556,-0.243,False,west_sub #4.0
west_sub,7.0,16,8,8.031868345511402,0.502,0.5,0.032,False,west_sub #7.0
west_sub,3.0,12,8,8.468459860473912,0.706,0.667,0.468,False,west_sub #3.0
west_sub,6.0,7,3,3.114285714285714,0.445,0.429,0.114,True,west_sub #6.0
west_sub,12.0,4,1,1.8934975021060647,0.473,0.25,0.893,True,west_sub #12.0
west_sub,5.0,4,1,1.6285714285714283,0.407,0.25,0.629,True,west_sub #5.0
west_sub,2.0,3,2,1.7192814025790928,0.573,0.667,-0.281,True,west_sub #2.0
west_sub,10.0,2,1,1.2142857142857142,0.607,0.5,0.214,True,west_sub #10.0
west_sub,11.0,1,1,1.0,1.0,1.0,0.0,True,west_sub #11.0
west_sub,14.0,1,0,0.2142857142857142,0.214,0.0,0.214,True,west_sub #14.0
west_sub,8.0,1,0,0.2142857142857142,0.214,0.0,0.214,True,west_sub #8.0
