bin_key,shots,goals,xg_sum,goal_rate,xg_per_shot,angle_bin,distance_bin_model
-10..10|4-6,24,16,13.537855744966961,0.667,0.564,-10..10,4-6
30..60|2-4,16,11,9.600740740740742,0.688,0.6,30..60,2-4
-60..-30|4-6,15,7,6.483055651514647,0.467,0.432,-60..-30,4-6
-60..-30|2-4,13,10,8.283243243243243,0.769,0.637,-60..-30,2-4
10..30|2-4,12,11,7.630785995966823,0.917,0.636,10..30,2-4
30..60|4-6,11,5,5.116987592753746,0.455,0.465,30..60,4-6
-10..10|6-8,10,2,3.8735494646699635,0.2,0.387,-10..10,6-8
10..30|4-6,9,1,3.9377176470667727,0.111,0.438,10..30,4-6
-30..-10|6-8,9,2,3.1459580294680185,0.222,0.35,-30..-10,6-8
-10..10|2-4,8,5,5.68,0.625,0.71,-10..10,2-4
<-60|4-6,7,3,3.084354354354354,0.429,0.441,<-60,4-6
30..60|6-8,7,0,2.4690771041156254,0.0,0.353,30..60,6-8
-10..10|0-2,6,5,4.25,0.833,0.708,-10..10,0-2
>60|4-6,6,3,2.6207407407407404,0.5,0.437,>60,4-6
-60..-30|6-8,6,1,2.2752708118904006,0.167,0.379,-60..-30,6-8
10..30|6-8,6,4,2.1363647130871484,0.667,0.356,10..30,6-8
-30..-10|4-6,5,2,2.42037037037037,0.4,0.484,-30..-10,4-6
>60|6-8,5,1,1.5501001001000998,0.2,0.31,>60,6-8
