our_team_name,player_number,n,goals,xg_sum,xg_ps,goal_rate,xg_minus_goals,low_data,shooter_label
,10,24,14,12.71815339478383,0.53,0.583,-1.282,False, #10
,4,23,14,11.371129313340363,0.494,0.609,-2.629,False, #4
,3,20,9,8.981412008639715,0.449,0.45,-0.019,False, #3
,7,17,9,7.491108354820598,0.441,0.529,-1.509,False, #7
,11,16,9,8.233574200965505,0.515,0.562,-0.766,False, #11
,2,16,7,7.621978026869331,0.476,0.438,0.622,False, #2
,5,16,7,7.284822786829386,0.455,0.438,0.285,False, #5
,15,13,7,6.38209800542283,0.491,0.538,-0.618,False, #15
,12,12,3,4.715472516253454,0.393,0.25,1.715,False, #12
,8,12,5,5.9204098142275425,0.493,0.417,0.92,False, #8
,9,10,7,5.244485733616168,0.524,0.7,-1.756,False, #9
,6,9,4,4.1796829153799475,0.464,0.444,0.18,True, #6
,20,5,3,2.560517038777908,0.512,0.6,-0.439,True, #20
,13,3,2,1.683046683046683,0.561,0.667,-0.317,True, #13
,14,3,0,1.1654574360353502,0.388,0.0,1.165,True, #14
,1,1,0,0.2432432432432432,0.243,0.0,0.243,True, #1
,16,1,0,0.4285714285714285,0.429,0.0,0.429,True, #16
,19,1,0,0.4285714285714285,0.429,0.0,0.429,True, #19
,22,1,1,0.5,0.5,1.0,-0.5,True, #22
