shooter,shots,goals,xg_sum,dist_med,ang_med,sh_pct,xg_per_shot
10,24,14,12.737550761931566,4.471,0.0,0.583,0.531
4,23,14,11.367290217522415,3.606,26.57,0.609,0.494
3,20,9,8.99846364278771,6.0415,0.0,0.45,0.45
7,17,9,7.6185064935064934,6.083,33.69,0.529,0.448
11,16,9,8.245386192754614,5.0,0.0,0.562,0.515
2,16,7,7.6234419605162635,5.0,-9.215,0.438,0.476
5,16,7,7.4106824685796635,5.6925,0.0,0.438,0.463
15,13,7,6.283953573181419,5.0,0.0,0.538,0.483
8,12,5,5.886790840738209,5.5,0.0,0.417,0.491
12,12,3,4.880535405853534,5.0,-16.845,0.25,0.407
9,10,7,5.19027856186918,3.606,18.43,0.7,0.519
6,9,4,4.237078324152628,5.831,-8.13,0.444,0.471
20,5,3,2.7368421052631575,5.385,-26.57,0.6,0.547
13,3,2,1.5944976076555024,3.162,45.0,0.667,0.531
14,3,0,1.2048872180451127,5.657,21.8,0.0,0.402
22,1,1,0.5,3.606,-33.69,1.0,0.5
16,1,0,0.4285714285714285,5.385,21.8,0.0,0.429
19,1,0,0.4285714285714285,5.0,36.87,0.0,0.429
1,1,0,0.25,15.0,0.0,0.0,0.25
