possession_id,shooter_x,shooter_y
1_P0001,3.398,3.606
1_P0002,2.305,7.454
1_P0003,4.116,5.881
1_P0006,3.545,2.738
1_P0007,4.162,3.651
1_P0008,4.758,5.712
1_P0009,0.402,6.371
1_P0011,2.473,2.603
10_P0001,0.338,5.763
10_P0002,-0.417,4.489
10_P0003,2.095,5.179
10_P0004,-1.160,4.032
10_P0005,-0.551,3.131
10_P0006,-1.331,3.442
10_P0007,-0.539,5.257
10_P0008,-2.417,2.433
11_P0001,1.491,2.010
11_P0002,-4.047,3.307
11_P0003,4.037,4.764
11_P0004,2.669,4.699
11_P0005,-1.716,2.236
11_P0006,0.173,2.359
11_P0007,3.757,3.433
11_P0008,-3.979,1.975
12_P0001,2.050,11.715
12_P0002,-3.557,9.012
12_P0003,0.292,10.461
12_P0004,-4.678,2.853
13_P0001,0.791,12.381
13_P0002,0.169,8.129
14_P0001,4.986,2.076
15_P0001,4.803,3.127
15_P0002,-3.838,2.773
2_P0001,2.898,6.598
2_P0002,0.186,4.963
2_P0003,1.260,5.777
2_P0004,1.092,3.199
2_P0005,0.461,4.966
2_P0006,1.901,3.526
2_P0007,3.505,3.447
2_P0009,4.010,3.535
3_P0001,0.926,7.219
3_P0002,-2.430,3.626
3_P0004,0.159,5.488
3_P0005,-2.333,2.688
3_P0006,1.506,3.287
3_P0007,-3.136,5.015
3_P0008,0.957,4.811
3_P0009,-4.068,2.852
4_P0001,-0.248,6.907
4_P0002,1.357,3.887
4_P0004,-2.557,5.294
4_P0005,-3.520,4.059
4_P0006,3.290,7.677
4_P0008,-0.217,4.507
4_P0009,-1.403,2.894
4_P0012,-1.990,5.485
5_P0002,-3.488,5.829
5_P0010,-5.078,6.588
5_P0012,4.216,3.942
5_P0014,-3.784,15.000
5_P0016,0.248,6.254
5_P0017,-2.245,5.706
5_P0018,-0.662,5.225
5_P0019,-0.312,5.036
6_P0001,1.274,4.775
6_P0003,-3.283,5.980
6_P0004,3.761,1.861
6_P0005,1.181,3.571
6_P0006,-2.556,6.053
6_P0009,-0.222,3.146
6_P0010,0.649,5.539
6_P0013,5.820,4.888
7_P0003,-3.925,2.729
7_P0004,0.736,6.134
7_P0008,5.064,0.964
7_P0009,-3.056,2.246
7_P0013,-1.819,7.101
7_P0014,-4.413,4.274
7_P0015,-2.780,4.930
7_P0016,-3.699,6.884
8_P0001,2.435,2.418
8_P0002,-1.799,2.203
8_P0003,2.642,2.303
8_P0004,-1.895,3.297
8_P0005,2.388,2.359
8_P0006,-0.277,4.338
8_P0007,2.959,2.452
8_P0008,1.462,2.176
9_P0001,3.520,7.610
9_P0002,0.607,7.195
9_P0003,1.655,1.698
9_P0004,-4.457,3.313
9_P0005,10.000,0.000
9_P0006,-10.000,15.000
9_P0007,10.000,0.000
