game_id,possession_id,video_file,context,t_s,frame_path
1,1_P0001,IMG_6154.MOV,tm,16.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0001-q1-n7-standard_tm.jpg
1,1_P0001,IMG_6154.MOV,t0,18.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0001-q1-n7-standard_t0.jpg
1,1_P0001,IMG_6154.MOV,tp,20.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0001-q1-n7-standard_tp.jpg
1,1_P0002,IMG_6155.MOV,tm,37.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0002-q1-n11-standard_tm.jpg
1,1_P0002,IMG_6155.MOV,t0,39.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0002-q1-n11-standard_t0.jpg
1,1_P0002,IMG_6155.MOV,tp,41.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0002-q1-n11-standard_tp.jpg
1,1_P0003,IMG_6156.MOV,tm,24.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0003-q1-n7-standard_tm.jpg
1,1_P0003,IMG_6156.MOV,t0,26.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0003-q1-n7-standard_t0.jpg
1,1_P0003,IMG_6156.MOV,tp,28.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0003-q1-n7-standard_tp.jpg
1,1_P0004,IMG_6157.MOV,tm,46.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0004-q1-nnan-nan_tm.jpg
1,1_P0004,IMG_6157.MOV,t0,48.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0004-q1-nnan-nan_t0.jpg
1,1_P0004,IMG_6157.MOV,tp,50.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0004-q1-nnan-nan_tp.jpg
1,1_P0005,IMG_6159.MOV,tm,1.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0005-q1-nnan-nan_tm.jpg
1,1_P0005,IMG_6159.MOV,t0,3.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0005-q1-nnan-nan_t0.jpg
1,1_P0005,IMG_6159.MOV,tp,5.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0005-q1-nnan-nan_tp.jpg
1,1_P0006,IMG_6162.MOV,tm,29.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0006-q1-n4-standard_tm.jpg
1,1_P0006,IMG_6162.MOV,t0,31.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0006-q1-n4-standard_t0.jpg
1,1_P0006,IMG_6162.MOV,tp,33.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0006-q1-n4-standard_tp.jpg
1,1_P0007,IMG_6164.MOV,tm,15.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0007-q1-n4-standard_tm.jpg
1,1_P0007,IMG_6164.MOV,t0,17.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0007-q1-n4-standard_t0.jpg
1,1_P0007,IMG_6164.MOV,tp,19.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0007-q1-n4-standard_tp.jpg
1,1_P0008,IMG_6165.MOV,tm,9.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0008-q1-n4-lob_tm.jpg
1,1_P0008,IMG_6165.MOV,t0,11.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0008-q1-n4-lob_t0.jpg
1,1_P0008,IMG_6165.MOV,tp,13.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0008-q1-n4-lob_tp.jpg
1,1_P0009,IMG_6166.MOV,tm,14.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0009-q1-n5-standard_tm.jpg
1,1_P0009,IMG_6166.MOV,t0,16.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0009-q1-n5-standard_t0.jpg
1,1_P0009,IMG_6166.MOV,tp,18.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0009-q1-n5-standard_tp.jpg
1,1_P0010,IMG_6167.MOV,tm,19.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0010-q1-nnan-nan_tm.jpg
1,1_P0010,IMG_6167.MOV,t0,21.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0010-q1-nnan-nan_t0.jpg
1,1_P0010,IMG_6167.MOV,tp,23.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0010-q1-nnan-nan_tp.jpg
1,1_P0011,IMG_6169.MOV,tm,22.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0011-q1-n4-standard_tm.jpg
1,1_P0011,IMG_6169.MOV,t0,24.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0011-q1-n4-standard_t0.jpg
1,1_P0011,IMG_6169.MOV,tp,26.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0011-q1-n4-standard_tp.jpg
1,1_P0012,IMG_6171.MOV,tm,15.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0012-q1-n3-tip-deflection_tm.jpg
1,1_P0012,IMG_6171.MOV,t0,17.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0012-q1-n3-tip-deflection_t0.jpg
1,1_P0012,IMG_6171.MOV,tp,19.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0012-q1-n3-tip-deflection_tp.jpg
1,1_P0013,IMG_6173.MOV,tm,32.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0013-q2-n7-lob_tm.jpg
1,1_P0013,IMG_6173.MOV,t0,34.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0013-q2-n7-lob_t0.jpg
1,1_P0013,IMG_6173.MOV,tp,36.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0013-q2-n7-lob_tp.jpg
1,1_P0014,IMG_6175.MOV,tm,14.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0014-q2-n7-standard_tm.jpg
1,1_P0014,IMG_6175.MOV,t0,16.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0014-q2-n7-standard_t0.jpg
1,1_P0014,IMG_6175.MOV,tp,18.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0014-q2-n7-standard_tp.jpg
1,1_P0015,IMG_6177.MOV,tm,11.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0015-q2-n3-standard_tm.jpg
1,1_P0015,IMG_6177.MOV,t0,13.0,C:\Users\sdris\Documents\git\waterpolo-xg\app\reports\frames\1-1-p0015-q2-n3-standard_t0.jpg
