game_id,video_file,status,inliers,good,good_int
1,IMG_6190.MOV,"match FAIL (inliers=5, good=22)",5,22,22
1,IMG_6204.MOV,"match FAIL (inliers=6, good=32)",6,32,32
1,IMG_6194.MOV,"match FAIL (inliers=7, good=34)",7,34,34
1,IMG_6189.MOV,"match FAIL (inliers=10, good=38)",10,38,38
1,IMG_6196.MOV,"match FAIL (inliers=9, good=38)",9,38,38
1,IMG_6200.MOV,"match FAIL (inliers=9, good=38)",9,38,38
1,IMG_6197.MOV,"match FAIL (inliers=7, good=40)",7,40,40
1,IMG_6202.MOV,"match FAIL (inliers=7, good=45)",7,45,45
1,IMG_6207.MOV,"match FAIL (inliers=6, good=49)",6,49,49
10,IMG_5083.MOV,"match FAIL (inliers=9, good=37)",9,37,37
10,IMG_5094.MOV,"match FAIL (inliers=6, good=43)",6,43,43
10,IMG_5111.MOV,"match FAIL (inliers=6, good=45)",6,45,45
10,IMG_5100.MOV,"match FAIL (inliers=9, good=47)",9,47,47
10,IMG_5081.MOV,"match FAIL (inliers=9, good=50)",9,50,50
10,IMG_5113.MOV,"match FAIL (inliers=10, good=50)",10,50,50
10,IMG_5086.MOV,"match FAIL (inliers=7, good=51)",7,51,51
10,IMG_5091.MOV,"match FAIL (inliers=11, good=51)",11,51,51
10,IMG_5103.MOV,"match FAIL (inliers=11, good=52)",11,52,52
10,IMG_5107.MOV,"match FAIL (inliers=9, good=52)",9,52,52
10,IMG_5088.MOV,"match FAIL (inliers=6, good=60)",6,60,60
11,IMG_2102.MOV,"match FAIL (inliers=6, good=40)",6,40,40
12,IMG_6421.MOV,"match FAIL (inliers=7, good=59)",7,59,59
15,IMG_0135.MOV,"match FAIL (inliers=6, good=31)",6,31,31
2,IMG_6140.MOV,"match FAIL (inliers=7, good=28)",7,28,28
2,IMG_6149.MOV,"match FAIL (inliers=6, good=30)",6,30,30
2,IMG_6142.MOV,"match FAIL (inliers=7, good=31)",7,31,31
2,IMG_6139.MOV,"match FAIL (inliers=8, good=36)",8,36,36
2,IMG_6144.MOV,"match FAIL (inliers=6, good=36)",6,36,36
2,IMG_6145.MOV,"match FAIL (inliers=6, good=36)",6,36,36
2,IMG_6150.MOV,"match FAIL (inliers=5, good=39)",5,39,39
2,IMG_6141.MOV,"match FAIL (inliers=9, good=41)",9,41,41
2,IMG_6143.MOV,"match FAIL (inliers=7, good=42)",7,42,42
2,IMG_6137.MOV,"match FAIL (inliers=5, good=43)",5,43,43
2,IMG_6146.MOV,"match FAIL (inliers=10, good=49)",10,49,49
3,IMG_0207.MOV,"match FAIL (inliers=5, good=22)",5,22,22
3,IMG_0204.MOV,"match FAIL (inliers=5, good=28)",5,28,28
3,IMG_0189.MOV,"match FAIL (inliers=6, good=30)",6,30,30
3,IMG_0187.MOV,"match FAIL (inliers=7, good=31)",7,31,31
3,IMG_0183.MOV,"match FAIL (inliers=6, good=33)",6,33,33
3,IMG_0196.MOV,"match FAIL (inliers=6, good=34)",6,34,34
3,IMG_0181.MOV,"match FAIL (inliers=9, good=35)",9,35,35
3,IMG_0202.MOV,"match FAIL (inliers=7, good=36)",7,36,36
3,IMG_0200.MOV,"match FAIL (inliers=7, good=42)",7,42,42
3,IMG_0205.MOV,"match FAIL (inliers=11, good=42)",11,42,42
3,IMG_0185.MOV,"match FAIL (inliers=7, good=46)",7,46,46
4,IMG_2638.MOV,"match FAIL (inliers=6, good=37)",6,37,37
4,IMG_2636.MOV,"match FAIL (inliers=6, good=43)",6,43,43
4,IMG_2622.MOV,"match FAIL (inliers=7, good=50)",7,50,50
4,IMG_2624.MOV,"match FAIL (inliers=1, good=59)",1,59,59
4,IMG_2635.MOV,"match FAIL (inliers=6, good=74)",6,74,74
4,IMG_2621.MOV,"match FAIL (inliers=7, good=80)",7,80,80
4,IMG_2625.MOV,"match FAIL (inliers=13, good=117)",13,117,117
5,IMG_2681.MOV,"match FAIL (inliers=7, good=48)",7,48,48
5,IMG_2677.MOV,"match FAIL (inliers=6, good=49)",6,49,49
5,IMG_2663.MOV,"match FAIL (inliers=6, good=53)",6,53,53
5,IMG_2680.MOV,"match FAIL (inliers=7, good=57)",7,57,57
5,IMG_2687.MOV,"match FAIL (inliers=0, good=71)",0,71,71
5,IMG_2685.MOV,"match FAIL (inliers=15, good=126)",15,126,126
5,IMG_2675.MOV,"match FAIL (inliers=14, good=142)",14,142,142
6,IMG_4611.MOV,"match FAIL (inliers=6, good=39)",6,39,39
6,IMG_4613.MOV,"match FAIL (inliers=6, good=39)",6,39,39
6,IMG_4585.MOV,"match FAIL (inliers=6, good=40)",6,40,40
6,IMG_4600.MOV,"match FAIL (inliers=3, good=40)",3,40,40
6,IMG_4587.MOV,"match FAIL (inliers=6, good=41)",6,41,41
6,IMG_4597.MOV,"match FAIL (inliers=7, good=42)",7,42,42
6,IMG_4581.MOV,"match FAIL (inliers=6, good=45)",6,45,45
6,IMG_4592.MOV,"match FAIL (inliers=6, good=46)",6,46,46
6,IMG_4594.MOV,"match FAIL (inliers=7, good=47)",7,47,47
6,IMG_4579.MOV,"match FAIL (inliers=6, good=48)",6,48,48
6,IMG_4590.MOV,"match FAIL (inliers=7, good=48)",7,48,48
6,IMG_4588.MOV,"match FAIL (inliers=5, good=49)",5,49,49
6,IMG_4596.MOV,"match FAIL (inliers=6, good=52)",6,52,52
6,IMG_4583.MOV,"match FAIL (inliers=7, good=62)",7,62,62
7,IMG_5676.MOV,"match FAIL (inliers=6, good=35)",6,35,35
7,IMG_5667.MOV,"match FAIL (inliers=2, good=36)",2,36,36
7,IMG_5658.MOV,"match FAIL (inliers=2, good=40)",2,40,40
7,IMG_5669.MOV,"match FAIL (inliers=6, good=40)",6,40,40
7,IMG_5673.MOV,"match FAIL (inliers=6, good=40)",6,40,40
