game_id,video_file,status,inliers,good
1,IMG_6154.MOV,propagated,3000,3000
1,IMG_6155.MOV,propagated,303,452
1,IMG_6156.MOV,propagated,324,441
1,IMG_6157.MOV,propagated,238,373
1,IMG_6159.MOV,propagated,240,425
1,IMG_6162.MOV,propagated,500,676
1,IMG_6164.MOV,propagated,382,549
1,IMG_6165.MOV,propagated,395,564
1,IMG_6166.MOV,propagated,250,353
1,IMG_6167.MOV,propagated,489,659
1,IMG_6169.MOV,propagated,218,320
1,IMG_6171.MOV,propagated,631,777
1,IMG_6173.MOV,propagated,440,611
1,IMG_6175.MOV,propagated,458,625
1,IMG_6177.MOV,propagated,582,747
1,IMG_6179.MOV,propagated,554,823
1,IMG_6181.MOV,propagated,423,583
1,IMG_6183.MOV,propagated,320,486
1,IMG_6184.MOV,propagated,260,448
1,IMG_6186.MOV,propagated,239,373
1,IMG_6189.MOV,"match FAIL (inliers=10, good=38)",10,38
1,IMG_6190.MOV,"match FAIL (inliers=5, good=22)",5,22
1,IMG_6194.MOV,"match FAIL (inliers=7, good=34)",7,34
1,IMG_6196.MOV,"match FAIL (inliers=9, good=38)",9,38
1,IMG_6197.MOV,"match FAIL (inliers=7, good=40)",7,40
1,IMG_6200.MOV,"match FAIL (inliers=9, good=38)",9,38
1,IMG_6202.MOV,"match FAIL (inliers=7, good=45)",7,45
1,IMG_6204.MOV,"match FAIL (inliers=6, good=32)",6,32
1,IMG_6207.MOV,"match FAIL (inliers=6, good=49)",6,49
10,IMG_5045.MOV,propagated,3000,3000
10,IMG_5047.MOV,propagated,649,799
10,IMG_5053.MOV,propagated,433,538
10,IMG_5056.MOV,propagated,515,806
10,IMG_5057.MOV,propagated,342,551
10,IMG_5059.MOV,propagated,279,491
10,IMG_5060.MOV,propagated,276,492
10,IMG_5063.MOV,propagated,232,408
10,IMG_5065.MOV,propagated,312,481
10,IMG_5066.MOV,propagated,207,345
10,IMG_5069.MOV,propagated,285,431
10,IMG_5071.MOV,propagated,265,420
10,IMG_5074.MOV,propagated,316,468
10,IMG_5078.MOV,propagated,205,387
10,IMG_5081.MOV,"match FAIL (inliers=9, good=50)",9,50
10,IMG_5083.MOV,"match FAIL (inliers=9, good=37)",9,37
10,IMG_5086.MOV,"match FAIL (inliers=7, good=51)",7,51
10,IMG_5088.MOV,"match FAIL (inliers=6, good=60)",6,60
10,IMG_5091.MOV,"match FAIL (inliers=11, good=51)",11,51
10,IMG_5094.MOV,"match FAIL (inliers=6, good=43)",6,43
10,IMG_5100.MOV,"match FAIL (inliers=9, good=47)",9,47
10,IMG_5103.MOV,"match FAIL (inliers=11, good=52)",11,52
10,IMG_5107.MOV,"match FAIL (inliers=9, good=52)",9,52
10,IMG_5111.MOV,"match FAIL (inliers=6, good=45)",6,45
10,IMG_5113.MOV,"match FAIL (inliers=10, good=50)",10,50
11,IMG_2070.MOV,propagated,3000,3000
11,IMG_2071.MOV,propagated,129,280
11,IMG_2073.MOV,propagated,141,273
11,IMG_2077.MOV,propagated,88,239
11,IMG_2078.MOV,propagated,166,410
11,IMG_2081.MOV,propagated,83,170
11,IMG_2084.MOV,propagated,142,389
11,IMG_2088.MOV,propagated,70,185
11,IMG_2093.MOV,propagated,108,268
11,IMG_2096.MOV,propagated,149,357
11,IMG_2098.MOV,propagated,145,355
11,IMG_2102.MOV,"match FAIL (inliers=6, good=40)",6,40
12,IMG_6421.MOV,"match FAIL (inliers=7, good=59)",7,59
12,IMG_6444.MOV,propagated,3000,3000
12,IMG_6462.MOV,propagated,261,396
12,IMG_6471.MOV,propagated,366,580
13,IMG_6391.MOV,propagated,126,295
13,IMG_6394.MOV,propagated,3000,3000
14,IMG_0077.MOV,propagated,3000,3000
15,IMG_0131.MOV,propagated,3000,3000
15,IMG_0135.MOV,"match FAIL (inliers=6, good=31)",6,31
2,IMG_6115.MOV,propagated,386,601
2,IMG_6117.MOV,propagated,3000,3000
2,IMG_6119.MOV,propagated,350,669
2,IMG_6123.MOV,propagated,278,508
2,IMG_6125.MOV,propagated,276,511
2,IMG_6127.MOV,propagated,275,540
2,IMG_6128.MOV,propagated,371,718
2,IMG_6130.MOV,propagated,419,747
2,IMG_6132.MOV,propagated,344,608
2,IMG_6134.MOV,propagated,284,377
2,IMG_6136.MOV,propagated,404,625
2,IMG_6137.MOV,"match FAIL (inliers=5, good=43)",5,43
2,IMG_6139.MOV,"match FAIL (inliers=8, good=36)",8,36
2,IMG_6140.MOV,"match FAIL (inliers=7, good=28)",7,28
2,IMG_6141.MOV,"match FAIL (inliers=9, good=41)",9,41
2,IMG_6142.MOV,"match FAIL (inliers=7, good=31)",7,31
2,IMG_6143.MOV,"match FAIL (inliers=7, good=42)",7,42
2,IMG_6144.MOV,"match FAIL (inliers=6, good=36)",6,36
2,IMG_6145.MOV,"match FAIL (inliers=6, good=36)",6,36
2,IMG_6146.MOV,"match FAIL (inliers=10, good=49)",10,49
