possession_id,game_id,our_team_name,opponent_team_name,our_team_level,opponent_team_level,period,time_remaining,man_state,event_type,turnover_type,turnover_player_number,drawn_by_player_number,shooter_x,shooter_y,defender_count,goalie_present,goalie_distance_m,goalie_lateral,possession_passes,attack_type,shot_type,shot_result,shooter_handedness,player_number,video_file,video_timestamp_mmss
1_P0001,1,west_sub,evanston,IL Club,IL Club,1.0,06:50,,shot,,,,0.65,0.2,1.0,,1.0,right,1,counter,standard,goal,,7.0,IMG_6154.MOV,00:18
1_P0002,1,west_sub,evanston,IL Club,IL Club,1.0,06:17,,shot,,,,0.5,0.2,1.0,,1.0,center,0,perimeter,standard,goal,,11.0,IMG_6155.MOV,00:39
1_P0003,1,west_sub,evanston,IL Club,IL Club,1.0,05:51,,shot,,,,0.7,0.4,2.0,,1.5,right,1,counter,standard,post/bar,,7.0,IMG_6156.MOV,00:29
1_P0004,1,west_sub,evanston,IL Club,IL Club,1.0,05:03,,turnover,steal/interception,7.0,,,,,,,,1,,,,,,IMG_6157.MOV,00:48
1_P0005,1,west_sub,evanston,IL Club,IL Club,1.0,04:25,,turnover,steal/interception,4.0,,,,,,,,1,,,,,,IMG_6159.MOV,00:03
1_P0006,1,west_sub,evanston,IL Club,IL Club,1.0,03:33,,shot,,,,0.7,0.2,1.0,,1.0,right,9,perimeter,standard,goal,,4.0,IMG_6162.MOV,00:31
1_P0007,1,west_sub,evanston,IL Club,IL Club,1.0,02:55,,shot,,,,0.7,0.2666666666666666,1.0,,0.5,right,6,perimeter,standard,blocked (GK),,4.0,IMG_6164.MOV,00:17
1_P0008,1,west_sub,evanston,IL Club,IL Club,1.0,02:44,,shot,,,,0.75,0.4,1.0,,0.5,right,2,perimeter,lob,post/bar,,4.0,IMG_6165.MOV,00:11
1_P0009,1,west_sub,evanston,IL Club,IL Club,1.0,02:27,,shot,,,,0.4,0.4666666666666667,1.0,,1.0,center,3,perimeter,standard,missed,,5.0,IMG_6166.MOV,00:16
1_P0010,1,west_sub,evanston,IL Club,IL Club,1.0,02:01,,turnover,bad pass / out of bounds,4.0,,,,,,,,1,,,,,,IMG_6167.MOV,00:21
1_P0011,1,west_sub,evanston,IL Club,IL Club,1.0,01:08,,shot,,,,0.55,0.2,0.0,,1.0,right,5,broken play,standard,goal,,4.0,IMG_6169.MOV,00:24
1_P0012,1,west_sub,evanston,IL Club,IL Club,1.0,00:38,,shot,,,,0.45,0.0666666666666666,2.0,,0.0,right,4,broken play,tip/deflection,goal,,3.0,IMG_6171.MOV,00:17
1_P0013,1,west_sub,evanston,IL Club,IL Club,2.0,06:35,,shot,,,,0.85,0.2,2.0,,0.5,right,6,perimeter,lob,missed,,7.0,IMG_6173.MOV,00:34
1_P0014,1,west_sub,evanston,IL Club,IL Club,2.0,05:54,,shot,,,,0.8,0.2,1.0,,0.5,right,2,perimeter,standard,missed,,7.0,IMG_6175.MOV,00:16
