possession_id,game_id,our_team_name,opponent_team_name,our_team_level,opponent_team_level,period,time_remaining,man_state,event_type,turnover_type,turnover_player_number,drawn_by_player_number,shooter_x,shooter_y,defender_count,goalie_present,goalie_distance_m,goalie_lateral,possession_passes,attack_type,shot_type,shot_result,shooter_handedness,player_number,video_file,video_timestamp_mmss,x,y,outcome,handed,distance_m,angle_deg,angle_deg_signed,video_timecode,source_video_id
1_P0001,1,west_sub,evanston,IL Club,IL Club,1,06:50,6v6,shot,,,,0.65,0.2,1,true,1,right,1,counter,standard,goal,right,7,IMG_6154.MOV,00:18,0.65,0.2,goal,right,4.243,45.0,45.0,18.0,IMG_6154.MOV
1_P0002,1,west_sub,evanston,IL Club,IL Club,1,06:17,6v6,shot,,,,0.5,0.2,1,true,1,center,0,perimeter,standard,goal,right,11,IMG_6155.MOV,00:39,0.5,0.2,goal,right,3.0,0.0,0.0,39.0,IMG_6155.MOV
1_P0003,1,west_sub,evanston,IL Club,IL Club,1,05:51,6v6,shot,,,,0.7,0.4,2,true,1.5,right,1,counter,standard,post/bar,right,7,IMG_6156.MOV,00:29,0.7,0.4,post/bar,right,7.211,33.69,33.69,29.0,IMG_6156.MOV
1_P0004,1,west_sub,evanston,IL Club,IL Club,1,05:03,6v6,turnover,steal/interception,7,,,,,nan,,,1,nan,,,,,IMG_6157.MOV,00:48,,,,,,,,48.0,IMG_6157.MOV
1_P0005,1,west_sub,evanston,IL Club,IL Club,1,04:25,6v6,turnover,steal/interception,4,,,,,nan,,,1,nan,,,,,IMG_6159.MOV,00:03,,,,,,,,3.0,IMG_6159.MOV
1_P0006,1,west_sub,evanston,IL Club,IL Club,1,03:33,6v6,shot,,,,0.7,0.2,1,true,1,right,9,perimeter,standard,goal,right,4,IMG_6162.MOV,00:31,0.7,0.2,goal,right,5.0,53.13,53.13,31.0,IMG_6162.MOV
1_P0007,1,west_sub,evanston,IL Club,IL Club,1,02:55,6v6,shot,,,,0.7,0.2666666667,1,true,0.5,right,6,perimeter,standard,blocked (GK),right,4,IMG_6164.MOV,00:17,0.7,0.2666666667,blocked (GK),right,5.657,45.0,45.0,17.0,IMG_6164.MOV
1_P0008,1,west_sub,evanston,IL Club,IL Club,1,02:44,6v6,shot,,,,0.75,0.4,1,true,0.5,right,2,perimeter,lob,post/bar,right,4,IMG_6165.MOV,00:11,0.75,0.4,post/bar,right,7.81,39.81,39.81,11.0,IMG_6165.MOV
1_P0009,1,west_sub,evanston,IL Club,IL Club,1,02:27,6v6,shot,,,,0.4,0.4666666667,1,true,1,center,3,perimeter,standard,missed,right,5,IMG_6166.MOV,00:16,0.4,0.4666666667,missed,right,7.28,-15.95,-15.95,16.0,IMG_6166.MOV
1_P0010,1,west_sub,evanston,IL Club,IL Club,1,02:01,6v6,turnover,bad pass / out of bounds,4,,,,,nan,,,1,nan,,,,,IMG_6167.MOV,00:21,,,,,,,,21.0,IMG_6167.MOV
